image,cleaned_caption
1000268201_693b08cb0e.jpg,child pink dress climbing set stairs entry way
1000268201_693b08cb0e.jpg,girl going wooden building
1000268201_693b08cb0e.jpg,little girl climbing wooden playhouse
1000268201_693b08cb0e.jpg,little girl climbing stairs playhouse
1000268201_693b08cb0e.jpg,little girl pink dress going wooden cabin
1001773457_577c3a7d70.jpg,black dog spotted dog fighting
1001773457_577c3a7d70.jpg,black dog tricolored dog playing road
1001773457_577c3a7d70.jpg,black dog white dog brown spots staring street
1001773457_577c3a7d70.jpg,two dogs different breeds looking road
1001773457_577c3a7d70.jpg,two dogs pavement moving toward
1002674143_1b742ab4b8.jpg,little girl covered paint sits front painted rainbow hands bowl
1002674143_1b742ab4b8.jpg,little girl sitting front large painted rainbow
1002674143_1b742ab4b8.jpg,small girl grass plays fingerpaints front white canvas rainbow
1002674143_1b742ab4b8.jpg,girl pigtails sitting front rainbow painting
1002674143_1b742ab4b8.jpg,young girl pigtails painting outside grass
1003163366_44323f5815.jpg,man lays bench dog sits
1003163366_44323f5815.jpg,man lays bench white dog also tied
1003163366_44323f5815.jpg,man sleeping bench outside white black dog sitting next
1003163366_44323f5815.jpg,shirtless man lies park bench dog
1003163366_44323f5815.jpg,man laying bench holding leash dog sitting ground
1007129816_e794419615.jpg,man orange hat starring something
1007129816_e794419615.jpg,man wears orange hat glasses
1007129816_e794419615.jpg,man gauges glasses wearing blitz hat
1007129816_e794419615.jpg,man glasses wearing beer crocheted hat
1007129816_e794419615.jpg,man pierced ears wearing glasses orange hat
1007320043_627395c3d8.jpg,child playing rope net
1007320043_627395c3d8.jpg,little girl climbing red roping
1007320043_627395c3d8.jpg,little girl pink climbs rope bridge park
1007320043_627395c3d8.jpg,small child grips onto red ropes playground
1007320043_627395c3d8.jpg,small child climbs red ropes playground
1009434119_febe49276a.jpg,black white dog running grassy garden surrounded white fence
1009434119_febe49276a.jpg,black white dog running grass
1009434119_febe49276a.jpg,boston terrier running grass
1009434119_febe49276a.jpg,boston terrier running lush green grass front white fence
1009434119_febe49276a.jpg,dog runs green grass near wooden fence
1012212859_01547e3f17.jpg,dog shakes head near shore red ball next
1012212859_01547e3f17.jpg,white dog shakes edge beach orange ball
1012212859_01547e3f17.jpg,dog orange ball feet stands shore shaking water
1012212859_01547e3f17.jpg,white dog playing red ball shore near water
1012212859_01547e3f17.jpg,white dog brown ears standing near water head turned one side
1015118661_980735411b.jpg,boy smiles front stony wall city
1015118661_980735411b.jpg,little boy standing street man overalls working stone wall
1015118661_980735411b.jpg,young boy runs aross street
1015118661_980735411b.jpg,young child walking stone paved street metal pole man behind
1015118661_980735411b.jpg,smiling boy white shirt blue jeans front rock wall man overalls behind
1015584366_dfcec3c85a.jpg,black dog leaps log
1015584366_dfcec3c85a.jpg,grey dog leaping fallen tree
1015584366_dfcec3c85a.jpg,large black dog leaps fallen log
